"Vial","Site","Location","Rep","Collection.Date","CH4.area","CH4.hgt","CO2..area","CO2.hgt","Run.Date","File.name","Notes","dilution.sample.vol..ml.","dilution.status","CH4.Curve","Measured.CH4.conc.ppm","Measured.CO2.conc.ppm","Sample.Vol","Final.Vol","Undiluted.CH4.conc.ppm","Undiluted.CO2.conc.ppm","Temp","Barometric_P","Headspace_equil_P","Headspace_vol","Liquid_vol","Final_Headspace_Mixing_CH4_ppm","Final_Headspace_Mixing_CO2_ppm","Source_Gas_Mixing_CH4_ppm","Source_Gas_Mixing_CO2_ppm","Headspace_Equil_Temp_K","Bunsen_Sol_CH4","Bunsen_Sol_CO2","Source_Gas_CH4_umol","Source_Gas_CO2_umol","Final_Headspace_CH4_umol","Final_Headspace_CO2_umol","Final_Liq_CH4_umol","Final_Liq_CO2_umol","Total_Gas_CH4_umol","Total_Gas_CO2_umol","Original_Liq_CH4_umol","Original_Liq_CO2_umol"
"0164","Catfish","top",1,"7/28/2022",48.2215,10.765,3957.801,"525.477","10/14/2022","EDC_D_76",NA,NA,0,"low",21.85071136,844.029164,NA,NA,21.85071136,844.029164,19,0.93,0.93,0.02,0.04,21.85071136,844.029164,0,1,292.15,0.0354089561008192,0.897037968071965,0,0.0416918294228829,0.91099613078977,35.1891199334265,0.0299994024629306,29.3563582782891,0.0194198987143126,1.87803672980009,0.485497467857816,46.9300723302909
"0165","Catfish","top",2,"7/28/2022",68.758,15.601,4410.3366,"580.991","10/14/2022","EDC_D_77",NA,NA,0,"low",30.95777974,939.9192545,NA,NA,30.95777974,939.9192545,17,0.93,0.93,0.02,0.04,30.95777974,939.9192545,0,1,290.15,0.0369388440954637,0.952885849810898,0,0.041979210635517,1.2995831565134,39.4570683650336,0.0446447426350114,34.9662163716574,0.0277774528356685,2.18779002216697,0.694436320891711,54.6737609488564
"0166","Catfish","top",3,"7/28/2022",20.7108,4.491,4756.313,"625.84","10/14/2022","EDC_D_78","Hard to pull",NA,0,"low",9.650880518,1013.229969,NA,NA,9.650880518,1013.229969,18,0.93,0.93,0.02,0.04,9.650880518,1013.229969,0,1,291.15,0.0361572332203369,0.924322865036901,0,0.0418350265014434,0.403744842232794,42.3885026051717,0.0135764156725709,36.4380158205519,0.00861795347155872,2.30529068492551,0.215448836788968,57.611349609887
"0167","Catfish","bottom",1,"7/28/2022",1.7659,0.394,160.574,"22.591","10/14/2022","EDC_D_80","Possibly could not retrieve enough gas","1 mL in 10mL glass syringe",1,"low",1.24961936,39.41524912,1,10,12.4961936,394.1524912,17.7,0.93,0.93,0.02,0.04,12.4961936,394.1524912,0,1,290.85,0.0363881411000442,0.932754352822663,0,0.0418781776375976,0.52331781537461,16.5063880427752,0.0177095831305969,14.318656925539,0.0111747396327161,0.902874037877066,0.279368490817902,22.5509118581078
"0168","Catfish","bottom",2,"7/28/2022",2649.6031,572.817,1569.6392,"225.467","10/14/2022","EDC_D_81",NA,"1 mL in 10mL glass syringe",1,"high",575.7674922,337.9893051,1,10,5757.674922,3379.893051,17.5,0.93,0.93,0.02,0.04,5757.674922,3379.893051,0,1,290.65,0.03654376813754,0.938440175096318,0,0.0419069945497858,241.286851575693,141.641159667116,8.2003036055158,123.617231851334,5.15374917573448,7.77751246739568,128.843729393362,194.416858187617
"0168","Catfish","bottom",2,"7/28/2022",364.2194,89.914,172.2713,"24.519","10/14/2022","EDC_D_82",NA,"0.1mL in 10mL glass syringe",1,"high",94.72809673,41.89385004,0.1,10,9472.809673,4189.385004,17.5,0.93,0.93,0.02,0.04,9472.809673,4189.385004,0,1,290.65,0.03654376813754,0.938440175096318,0,0.0419069945497858,396.976983337569,175.564534529582,13.4915423965762,153.22383564792,8.47920136261444,9.64024411650844,211.980034065361,240.985149415436
"0169","Catfish","bottom",3,"7/28/2022",957.0707,223.947,409.2728,"61.482","10/14/2022","EDC_D_83",NA,"0.1mL in 10mL glass syringe",1,"high",219.5145083,92.11331407,0.1,10,21951.45083,9211.331407,17.5,0.93,0.93,0.02,0.04,21951.45083,9211.331407,0,1,290.65,0.03654376813754,0.938440175096318,0,0.0419069945497858,919.919330292702,386.01921506942,31.2641064016555,336.898023995669,19.6489508619203,21.1963052612152,491.223771548006,529.886678033104
"0170","Catfish","outlet",1,"7/28/2022",6.2699,1.314,8893.9685,"1128.207","10/14/2022","EDC_D_84",NA,NA,0,"low",3.246952693,1889.979026,NA,NA,3.246952693,1889.979026,17,0.93,0.93,0.02,0.04,3.246952693,1889.979026,0,1,290.15,0.0369388440954637,0.952885849810898,0,0.041979210635517,0.136304511023006,79.3398276291632,0.00468248590643413,70.3096731390668,0.00291338965671749,4.39918347814593,0.0728347414179372,109.958597348331
"0171","Catfish","outlet",2,"7/28/2022",4.5554,0.939,8471.8491,"1077.344","10/14/2022","EDC_D_88",NA,NA,0,"low",2.486644523,1800.53398,NA,NA,2.486644523,1800.53398,17.9,0.93,0.93,0.02,0.04,2.486644523,1800.53398,0,1,291.05,0.0362338670507312,0.927120489787497,0,0.0418494003294803,0.104064582120137,75.3512673358525,0.00350671587690477,64.9695246070275,0.00222156027747892,4.10580633099815,0.0555390069369731,102.624233574789
"0172","Catfish","outlet",3,"7/28/2022",4,0.878,7819.6836,"997.78","10/14/2022","EDC_D_89",NA,NA,0,"low",2.343585079,1662.343286,NA,NA,2.343585079,1662.343286,18.5,0.93,0.93,0.02,0.04,2.343585079,1662.343286,0,1,291.65,0.0357790301891752,0.910525006878079,0,0.041763305214796,0.0978758589511188,69.4249500249849,0.00325677008034929,58.788232382079,0.00208778798223635,3.74002829578286,0.0521946995559087,93.4798257419641
